iter	Passed	Remaining
401	16975	4138
402	17017	4095
403	17061	4054
404	17109	4013
405	17156	3972
406	17198	3929
407	17241	3887
408	17284	3845
409	17329	3803
410	17373	3762
411	17416	3719
412	17460	3678
413	17519	3639
414	17575	3599
415	17616	3557
416	17654	3513
417	17694	3471
418	17735	3428
419	17777	3386
420	17816	3343
421	17858	3300
422	17900	3258
423	17943	3216
424	17985	3173
425	18025	3131
426	18065	3088
427	18106	3046
428	18148	3003
429	18194	2961
430	18240	2920
431	18297	2880
432	18340	2837
433	18383	2795
434	18423	2752
435	18464	2710
436	18507	2668
437	18553	2626
438	18593	2583
439	18635	2541
440	18677	2498
441	18718	2456
442	18760	2413
443	18800	2371
444	18840	2328
445	18880	2285
446	18920	2243
447	18962	2200
448	19003	2158
449	19044	2116
450	19084	2073
451	19126	2031
452	19167	1988
453	19207	1946
454	19245	1903
455	19284	1860
456	19328	1818
457	19369	1776
458	19410	1733
459	19454	1691
460	19496	1649
461	19535	1606
462	19575	1564
463	19617	1522
464	19659	1479
465	19702	1437
466	19742	1395
467	19783	1352
468	19826	1310
469	19868	1268
470	19908	1225
471	19951	1183
472	19993	1141
473	20035	1098
474	20080	1056
475	20126	1014
476	20167	972
477	20207	930
478	20248	887
479	20293	845
480	20335	803
481	20375	760
482	20414	718
483	20455	676
484	20495	633
485	20542	591
486	20583	549
487	20624	507
488	20666	464
489	20707	422
490	20746	380
491	20781	337
492	20822	295
493	20862	253
494	20901	211
495	20942	168
496	20982	126
497	21029	84
498	21071	42
499	21111	0
